Year,Neigh,Num
2015,Western Addition,2784
2016,Bayview Hunters Point,4796
2016,Bernal Heights,1928
2016,Castro/Upper Market,2549
2016,Chinatown,1984
2016,Excelsior,801
2016,Financial District/South Beach,4022
2016,Glen Park,259
2016,Golden Gate Park,761
2016,Haight Ashbury,877
2016,Hayes Valley,1244
2016,Inner Richmond,683
2016,Inner Sunset,717
2016,Japantown,380
2016,Lakeshore,666
2016,Lincoln Park,12
2016,Lone Mountain/USF,727
2016,Marina,1206
2016,McLaren Park,61
2016,Mission,5566
2016,Mission Bay,744
2016,Nob Hill,1588
2016,Noe Valley,469
2016,North Beach,1597
2016,Oceanview/Merced/Ingleside,627
2016,Outer Mission,722
2016,Outer Richmond,1109
2016,Pacific Heights,1001
2016,Portola,476
2016,Potrero Hill,1061
2016,Presidio,23
2016,Presidio Heights,252
2016,Russian Hill,976
2016,Seacliff,44
2016,South of Market,6156
2016,Sunset/Parkside,1457
2016,Tenderloin,4842
2016,Treasure Island,84
2016,Twin Peaks,178
2016,Visitacion Valley,508
2016,West of Twin Peaks,992
2016,Western Addition,1982
2017,Bayview Hunters Point,3652
2017,Bernal Heights,1177
2017,Castro/Upper Market,2007
2017,Chinatown,1053
2017,Excelsior,1049
2017,Financial District/South Beach,4393
2017,Glen Park,327
2017,Golden Gate Park,749
2017,Haight Ashbury,1082
2017,Hayes Valley,1543
2017,Inner Richmond,866
2017,Inner Sunset,801
2017,Japantown,484
2017,Lakeshore,824
2017,Lincoln Park,12
2017,Lone Mountain/USF,873
2017,Marina,1470
2017,McLaren Park,87
2017,Mission,7735
2017,Mission Bay,781
2017,Nob Hill,1734
2017,Noe Valley,567
2017,North Beach,1919
2017,Oceanview/Merced/Ingleside,735
2017,Outer Mission,855
2017,Outer Richmond,1357
2017,Pacific Heights,995
2017,Portola,688
2017,Potrero Hill,1169
2017,Presidio,30
2017,Presidio Heights,313
2017,Russian Hill,1238
2017,Seacliff,64
2017,South of Market,7242
2017,Sunset/Parkside,1874
2017,Tenderloin,5939
2017,Treasure Island,104
2017,Twin Peaks,276
2017,Visitacion Valley,701
2017,West of Twin Peaks,1247
2017,Western Addition,2133
2003,All,88389
2004,All,87810
2005,All,84093
2006,All,81227
2007,All,81044
2008,All,83401
2009,All,82855
2010,All,78926
2011,All,77849
2012,All,83328
2013,All,91100
2014,All,82680
2015,All,78522
2016,All,56127
2017,All,62145
